"Photon energy, eV", "n", "k"
1.2398418743309971,3.08024,1.96092
1.2410829572882853,3.07939,1.96092
1.2423265273857687,3.07854,1.96092
1.243572592107319,3.0777,1.95982
1.2448211589668645,3.07685,1.95871
1.2460722355085398,3.076,1.95761
1.247325829306838,3.07515,1.9565
1.2485819479667646,3.07431,1.9554
1.2498405991239891,3.07346,1.95429
1.2511017904450021,3.07261,1.95319
1.2523655296272698,3.07177,1.95208
1.2536318243993905,3.07092,1.95098
1.254900682521252,3.07007,1.94987
1.2561721117841915,3.06923,1.94877
1.2574461200111533,3.06838,1.94766
1.2587227150568499,3.06753,1.94656
1.2600019048079238,3.06669,1.94545
1.26128369718311,3.06584,1.94435
1.2625681001333984,3.06499,1.94324
1.263855121642199,3.06415,1.94214
1.2651447697255074,3.0633,1.94103
1.2664370524320707,3.06245,1.93993
1.2677319778435554,3.0616,1.93882
1.2690295540747156,3.06076,1.93772
1.2703297892735628,3.05991,1.93661
1.2716326916215355,3.05906,1.93551
1.2729382693336726,3.05822,1.9344
1.2742465306587842,3.05737,1.9333
1.2755574838796266,3.05652,1.93219
1.2768711373130763,3.05568,1.93109
1.2781874993103064,3.05483,1.92999
1.279506578256963,3.05399,1.92888
1.2808283825733442,3.05314,1.92778
1.2821529207145783,3.0523,1.92668
1.2834802011708044,3.05145,1.92558
1.2848102324673545,3.05061,1.92448
1.286143023164935,3.04977,1.92338
1.2874785818598102,3.04892,1.92228
1.2888169171839887,3.04808,1.92118
1.290158037805408,3.04724,1.92007
1.2915019524281222,3.04639,1.91897
1.2928486697924892,3.04555,1.91787
1.2941981986753623,3.04471,1.91677
1.2955505478902791,3.04387,1.91567
1.296905726287654,3.04303,1.91457
1.2982637427549708,3.04218,1.91347
1.2996246062169783,3.04134,1.91237
1.3009883256358836,3.0405,1.91127
1.3023549100115517,3.03966,1.91017
1.3037243683817006,3.03882,1.90906
1.3050967098221022,3.03797,1.90796
1.306471943446783,3.03713,1.90686
1.307850078408225,3.03629,1.90576
1.3092311238975682,3.03545,1.90466
1.3106150891448174,3.03461,1.90356
1.3120019834190446,3.03377,1.90246
1.3133918160285987,3.03293,1.90136
1.314784596321312,3.03209,1.90026
1.3161803336847104,3.03125,1.89916
1.3175790375462244,3.03041,1.89805
1.3189807173734012,3.02957,1.89695
1.3203853826741185,3.02874,1.89585
1.3217930429967988,3.0279,1.89475
1.3232037079306265,3.02706,1.89365
1.324617387105766,3.02622,1.89254
1.3260340901935797,3.02538,1.89144
1.3274538269068492,3.02454,1.89034
1.3288766069999969,3.0237,1.88924
1.3303024402693102,3.02287,1.88814
1.3317313365531656,3.02203,1.88704
1.333163305732255,3.02119,1.88594
1.334598357729814,3.02035,1.88484
1.3360365025118504,3.01952,1.88374
1.3374777500873756,3.01868,1.88264
1.3389221105086362,3.01785,1.88153
1.3403695938713482,3.01701,1.88043
1.341820210314932,3.01618,1.87933
1.3432739700227487,3.01534,1.87823
1.3447308832223395,3.0145,1.87713
1.3461909601856645,3.01367,1.87603
1.3476542112293446,3.01283,1.87493
1.3491206467149044,3.012,1.87383
1.3505902770490164,3.01116,1.87273
1.3520631126837481,3.01033,1.87163
1.353539164116809,3.00949,1.87052
1.3550184418918,3.00866,1.86942
1.3565009565984651,3.00783,1.86832
1.357986718872943,3.00699,1.86722
1.359475739398023,3.00616,1.86612
1.3609680289033996,3.00533,1.86502
1.3624635981659308,3.00449,1.86392
1.3639624580098977,3.00366,1.86282
1.3654646193072655,3.00283,1.86172
1.366970092977946,3.002,1.86062
1.368478889990063,3.00117,1.85951
1.3699910213602178,3.00033,1.85841
1.371506498153758,2.9995,1.85731
1.3730253314850467,2.99867,1.85621
1.3745475325177352,2.99784,1.85511
1.3760731124650356,2.99701,1.85401
1.3776020825899968,2.99618,1.85291
1.379134454205781,2.99535,1.85181
1.3806702386759433,2.99452,1.85071
1.3822094474147124,2.99369,1.84961
1.3837520918872737,2.99286,1.8485
1.3852981836100526,2.99204,1.8474
1.3868477341510035,2.99121,1.8463
1.388400755129896,2.99038,1.8452
1.3899572582186066,2.98955,1.8441
1.391517255141411,2.98872,1.843
1.3930807576752777,2.9879,1.8419
1.3946477776501656,2.98707,1.8408
1.3962183269493211,2.98624,1.8397
1.3977924175095797,2.98541,1.8386
